;;;
;;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 18/06/2026 HORA.: 13:44:25-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;
;;;;Relação de Centro de Custo;;;;;;;;;;;
;;;;;;;;;;;;;;

Tipo;
;;Código;;;;;;;Descrição;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;

1.2.7.6             ;VEICULOS                                                                                           ;;SINTÉTICO ;

;;;;;;;
Página: 4 / 19
www.sygecom.com.br - relatorios\sagi_rel_centro_custo.fr3;;;
;;
1.2.7.6.1           ;GDG8E75                                                                                            ;;ANALÍTICO ;

1.2.7.6.2           ;NRV7727                                                                                            ;;ANALÍTICO ;

1.2.7.6.3           ;QAO4A53                                                                                            ;;ANALÍTICO ;

1.2.7.6.4           ;EWU6341 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.7.6.5           ;EWU6294 (JULIETA)                                                                                  ;;ANALÍTICO ;

1.2.7.6.6           ;EWU5986                                                                                            ;;ANALÍTICO ;

1.2.7.6.7           ;BTZ8D36                                                                                            ;;ANALÍTICO ;

1.2.7.7             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.2.7.7.1           ;EHH0038                                                                                            ;;ANALÍTICO ;

1.2.7.7.2           ;EHH0019                                                                                            ;;ANALÍTICO ;

1.2.7.8             ;PROJETO UND. PROPRIA CG                                                                            ;;ANALÍTICO ;

1.2.7.9             ;GHI3A74                                                                                            ;;ANALÍTICO ;

1.2.8               ;MARINGA CIDADE ALTA                                                                                ;;SINTÉTICO ;

1.2.8.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.8.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.8.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.8.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.3                 ;BRACOFER                                                                                           ;;SINTÉTICO ;

1.3.1               ;PRESIDENTE PRUDENTE                                                                                ;;SINTÉTICO ;

1.3.1.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.3.1.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.3.1.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.3.1.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.3.1.5             ;CORTE E DOBRA                                                                                      ;;ANALÍTICO ;

1.3.1.6             ;VEICULOS                                                                                           ;;SINTÉTICO ;

1.3.1.6.1           ;CZB9H07                                                                                            ;;ANALÍTICO ;

1.3.1.6.2           ;HAR1F82                                                                                            ;;ANALÍTICO ;

1.3.1.6.3           ;EJZ7495                                                                                            ;;ANALÍTICO ;

1.3.1.6.4           ;EJZ7496                                                                                            ;;ANALÍTICO ;

1.3.1.7             ;MAQUINAS E EQUIPAMENTOS                                                                            ;;SINTÉTICO ;

1.3.1.7.1           ;EUS0048                                                                                            ;;ANALÍTICO ;

1.3.1.7.2           ;ACS0049                                                                                            ;;ANALÍTICO ;

1.3.1.7.3           ;CCS0052                                                                                            ;;ANALÍTICO ;

1.3.1.7.4           ;DPS0050                                                                                            ;;ANALÍTICO ;

1.3.1.7.5           ;DPS0051                                                                                            ;;ANALÍTICO ;

1.3.1.8             ;PROJETOS                                                                                           ;;SINTÉTICO ;

1.3.1.8.1           ;ESCRITORIO NOVO                                                                                    ;;ANALÍTICO ;

1.3.1.8.2           ;ESPAÇO DO SERRALHEIRO E CALHEIRO                                                                   ;;ANALÍTICO ;

1.3.1.8.3           ;INTELIGENCIA ARTIFICIAL (IA)                                                                       ;;ANALÍTICO ;

1.4                 ;TRANSMOVE GSL                                                                                      ;;SINTÉTICO ;

